domain,label,cos_sim,answer_len,word_overlap,unique_ratio
summarization,0,0.7537960410118103,300,0.17346938775510204,0.9375
summarization,1,0.7243363261222839,300,0.19148936170212766,0.9130434782608695
summarization,0,0.7044131755828857,232,0.12162162162162163,0.8823529411764706
summarization,1,0.7823449373245239,300,0.15,0.8863636363636364
summarization,0,0.7903915047645569,300,0.21176470588235294,0.8888888888888888
summarization,1,0.7813965678215027,300,0.19767441860465115,0.851063829787234
summarization,0,0.2761085629463196,216,0.05263157894736842,0.9142857142857143
summarization,1,0.47526806592941284,300,0.08163265306122448,0.8444444444444444
summarization,0,0.7402573227882385,200,0.1794871794871795,0.8620689655172413
summarization,1,0.7901862859725952,300,0.24705882352941178,0.78
summarization,0,0.8854588270187378,259,0.35384615384615387,0.8048780487804879
summarization,1,0.7884122133255005,300,0.2077922077922078,0.76
summarization,0,0.7300604581832886,158,0.2463768115942029,0.9259259259259259
summarization,1,0.8776342272758484,300,0.2,0.7735849056603774
summarization,0,0.5496610999107361,213,0.15730337078651685,0.8095238095238095
summarization,1,0.6361978650093079,300,0.21978021978021978,0.8571428571428571
summarization,0,0.7631422877311707,216,0.1348314606741573,0.8571428571428571
summarization,1,0.647042453289032,300,0.08823529411764706,0.7843137254901961
summarization,0,0.704561710357666,104,0.18666666666666668,0.9473684210526315
summarization,1,0.6834913492202759,126,0.19230769230769232,1.0
summarization,0,0.48536521196365356,141,0.0975609756097561,0.9545454545454546
summarization,1,0.4343460500240326,300,0.1188118811881188,0.8148148148148148
summarization,0,0.6294215321540833,221,0.2,0.9696969696969697
summarization,1,0.6513600945472717,300,0.25287356321839083,0.9375
summarization,0,0.5690205097198486,241,0.16091954022988506,0.8809523809523809
summarization,1,0.6601766347885132,300,0.11956521739130435,0.8666666666666667
summarization,0,0.626636803150177,300,0.09782608695652174,0.926829268292683
summarization,1,0.6411270499229431,300,0.13333333333333333,0.8478260869565217
summarization,0,0.7315205931663513,252,0.16279069767441862,0.8333333333333334
summarization,1,0.820088803768158,290,0.25609756097560976,0.8085106382978723
summarization,0,0.6663514375686646,251,0.1744186046511628,0.8571428571428571
summarization,1,0.6211078763008118,251,0.1839080459770115,0.926829268292683
summarization,0,0.3461199998855591,258,0.061224489795918366,0.9534883720930233
summarization,1,0.5647780299186707,300,0.10989010989010989,0.95
summarization,0,0.8889425992965698,153,0.1686746987951807,0.9615384615384616
summarization,1,0.7210928797721863,300,0.09615384615384616,0.875
summarization,0,0.3874961733818054,201,0.12359550561797752,0.8055555555555556
summarization,1,0.41445088386535645,300,0.07476635514018691,0.88
summarization,0,0.8180878758430481,143,0.07954545454545454,0.92
summarization,1,0.7826405167579651,300,0.18947368421052632,0.7884615384615384
summarization,0,0.6087943911552429,271,0.10204081632653061,0.9523809523809523
summarization,1,0.7117052674293518,300,0.19318181818181818,0.74
summarization,0,0.580880343914032,107,0.04938271604938271,1.0
summarization,1,0.5861276984214783,188,0.0898876404494382,0.9655172413793104
summarization,0,0.7476491928100586,200,0.34375,0.967741935483871
summarization,1,0.8802654147148132,300,0.3026315789473684,0.8958333333333334
summarization,0,0.7038629055023193,196,0.11627906976744186,0.8
summarization,1,0.6817032098770142,300,0.13402061855670103,0.7777777777777778
